Date,Open,High,Low,Close,Volume
2018-02-20,277.73999,285.809998,276.609985,278.549988,7769000
2018-02-21,282.070007,286.640015,280.01001,281.040009,9371100
2018-02-22,283.880005,284.5,274.450012,278.140015,8891500
2018-02-23,281,286,277.809998,285.929993,7301800
2018-02-26,288.75,295.649994,287.01001,294.160004,10268600
2018-02-27,294.769989,297.359985,290.589996,290.609985,9416500
2018-02-28,293.100006,295.75,290.779999,291.380005,7653500
2018-03-01,292.75,295.25,283.829987,290.390015,11932100
2018-03-02,284.649994,301.179993,283.230011,301.049988,13345300
2018-03-05,302.850006,316.910004,297.600006,315,18986100
2018-03-06,319.880005,325.790009,316.5,325.220001,18525800
2018-03-07,320,323.73999,314.549988,321.160004,17132200
2018-03-08,322.200012,322.920013,314.130005,317,11340100
2018-03-09,321.329987,331.440002,320.230011,331.440002,14500200
2018-03-12,333.559998,333.980011,318.600006,321.299988,20369200
2018-03-13,323.869995,325.839996,313.279999,315.880005,12917200
2018-03-14,318.160004,323.880005,317.700012,321.549988,10475100
2018-03-15,323.170013,323.399994,318.140015,321.089996,5642900
2018-03-16,321.420013,324.109985,318.369995,318.450012,7333700
2018-03-19,315.799988,317,307.339996,313.480011,9925200
2018-03-20,313.26001,319.5,312.799988,317.5,5991900
2018-03-21,316.350006,319.399994,314.51001,316.480011,5263900
2018-03-22,313.070007,314.119995,305.660004,306.700012,8063300
2018-03-23,307.410004,309.369995,300.359985,300.940002,9529900
2018-03-26,309.359985,321.029999,302,320.350006,11988300
2018-03-27,322.48999,322.899994,297,300.690002,12068600
2018-03-28,298.390015,298.799988,281.609985,285.769989,18972900
2018-03-29,287,295.350006,275.899994,295.350006,19145500
2018-04-02,291.940002,292.869995,275.049988,280.290009,13405800
2018-04-03,285.450012,291.25,278.01001,283.670013,12694900
2018-04-04,273.630005,290.309998,271.220001,288.940002,12914000
2018-04-05,293.149994,299.160004,289.109985,293.970001,10655200
2018-04-06,289.100006,298.850006,285.649994,288.850006,11444800
2018-04-09,291.769989,299.549988,289.119995,289.929993,9853600
2018-04-10,297.679993,298.950012,291.690002,298.070007,10660500
2018-04-11,302.880005,311.640015,301.820007,303.670013,14877400
2018-04-12,309.720001,311.130005,306.75,309.25,10249400
2018-04-13,317.290009,317.48999,308.230011,311.649994,12046600
2018-04-16,315.98999,316.100006,304,307.779999,20307900
2018-04-17,329.660004,338.619995,323.769989,336.059998,33866500
2018-04-18,336.299988,338.820007,331.100006,334.519989,11221100
2018-04-19,332.880005,335.309998,326.769989,332.700012,8438800
2018-04-20,332.220001,336.51001,326,327.769989,9158700
2018-04-23,329.149994,331.220001,317.079987,318.690002,8968000
2018-04-24,319.220001,320.25,302.309998,307.019989,13893200
2018-04-25,306.369995,309.980011,292.619995,305.76001,14919700
2018-04-26,310,316.630005,305.579987,313.980011,9266700
2018-04-27,316.25,317.450012,306.5,311.76001,7074400
2018-04-30,311.070007,317.880005,310.119995,312.459991,6088800
